cate_pair,link_type,pair_count,mean_linking,max_linking,mean_pk_a,mean_pk_b,unique_col_a,unique_col_b,cat_ratio,dominance_score
교육 → 보건,INTER,11024,0.5078056966618287,1.0,0.97765148766328,0.8915384615384615,131,223,0.00045355587808418,5598.05
공공행정 → 보건,INTER,11038,0.5003243341184997,1.0,0.9771516579090415,0.893529624932053,146,229,0.0017213263272331943,5522.58
공공행정 → 교육,INTER,9219,0.5028343638138627,1.0,0.9817735112268141,0.8748302418917453,129,198,0.0021694326933506887,4635.63
보건 → 보건,INTRA,7928,0.5390426337033299,1.0,0.9556975277497478,0.9054969727547931,174,229,0.021316851664984864,4273.53
교육 → 교육,INTRA,4835,0.5191561530506722,1.0,0.9764756980351603,0.8783908996897623,218,339,0.016339193381592555,2510.12
공공행정 → 공공행정,INTRA,4077,0.5151017905322541,1.0,0.9713097866077999,0.930944321805249,126,172,0.006867794947265146,2100.07
