antecedents_str,consequents_str,support,confidence,lift,leverage
서비스상태=정상종결,"12주평가성공여부=Y, 4주평가성공여부=Y, 6개월평가성공여부=Y",0.15728,0.9988568525339769,4.8258616896993765,0.1246889292
"서비스구분=보건소 금연클리닉, 서비스상태=정상종결",6개월평가성공여부=Y,0.14168,0.9997177533163984,4.82582425814056,0.1123212848
6개월평가성공여부=Y,"서비스구분=보건소 금연클리닉, 서비스상태=정상종결",0.14168,0.6839158138636802,4.8258242581405595,0.1123212848
6개월평가성공여부=Y,"4주평가성공여부=Y, 서비스구분=보건소 금연클리닉, 서비스상태=정상종결",0.1416,0.6835296389264337,4.825823488607976,0.11225785760000001
6개월평가성공여부=Y,"6주평가성공여부=Y, 서비스구분=보건소 금연클리닉, 서비스상태=정상종결",0.1416,0.6835296389264337,4.825823488607976,0.11225785760000001
"4주평가성공여부=Y, 서비스구분=보건소 금연클리닉, 서비스상태=정상종결",6개월평가성공여부=Y,0.1416,0.9997175939000283,4.825823488607976,0.11225785760000001
"6주평가성공여부=Y, 서비스구분=보건소 금연클리닉, 서비스상태=정상종결",6개월평가성공여부=Y,0.1416,0.9997175939000283,4.825823488607976,0.11225785760000001
6개월평가성공여부=Y,"12주평가성공여부=Y, 서비스구분=보건소 금연클리닉, 서비스상태=정상종결",0.14156,0.6833365514578104,4.82582310351561,0.11222614399999999
"12주평가성공여부=Y, 서비스구분=보건소 금연클리닉, 서비스상태=정상종결",6개월평가성공여부=Y,0.14156,0.9997175141242937,4.825823103515609,0.11222614399999999
6개월평가성공여부=Y,"서비스상태=정상종결, 성별=남",0.1374,0.6632554547209886,4.825781830042117,0.10892792959999999
"서비스상태=정상종결, 성별=남",6개월평가성공여부=Y,0.1374,0.999708963911525,4.825781830042117,0.10892792959999999
6개월평가성공여부=Y,"4주평가성공여부=Y, 서비스상태=정상종결, 성별=남",0.13734,0.6629658235180536,4.825781216465669,0.10888035919999998
6개월평가성공여부=Y,"6주평가성공여부=Y, 서비스상태=정상종결, 성별=남",0.13734,0.6629658235180536,4.825781216465669,0.10888035919999998
"6주평가성공여부=Y, 서비스상태=정상종결, 성별=남",6개월평가성공여부=Y,0.13734,0.999708836803028,4.825781216465669,0.10888035919999998
"4주평가성공여부=Y, 서비스상태=정상종결, 성별=남",6개월평가성공여부=Y,0.13734,0.999708836803028,4.825781216465669,0.10888035919999998
