cate1_a,col_nm_a,freq,mean_link,score
공공행정,의안 번호,13,0.6423076923076922,8.35
보건,2021년1월,17,0.49,8.33
교육,공유 과목 단원 고유번호,22,0.3740909090909091,8.23
교육,이수인원,24,0.3383333333333333,8.12
보건,2020년11월,16,0.5,8.0
보건,2020년10월,16,0.5,8.0
공공행정,접수번호,13,0.6061538461538462,7.88
교육,직원수_남,14,0.5521428571428572,7.73
교육,운영과정 일련번호,12,0.6416666666666667,7.700000000000001
교육,직원수_계,14,0.55,7.700000000000001
교육,현원수,15,0.5133333333333333,7.699999999999999
교육,약물_사이버중독예방,15,0.5133333333333333,7.699999999999999
교육,누적선발인원,24,0.3204166666666667,7.69
공공행정,기계(개사),25,0.3056,7.64
보건,확진자수,23,0.3226086956521739,7.42
보건,종사자 수,18,0.4027777777777778,7.25
교육, 4학년 학급수,14,0.515,7.21
교육, 5학년 학급수,14,0.515,7.21
교육, 6학년 학급수,14,0.515,7.21
보건,확진자수 ,18,0.39499999999999996,7.109999999999999
교육,2023년,21,0.33285714285714285,6.99
보건,날짜,10,0.686,6.86
교육,0,22,0.30863636363636365,6.79
교육, 4_예금이자수입 ,8,0.845,6.76
보건,기숙사진단서 소요기간(일),17,0.39647058823529413,6.74
교육,가정,13,0.5115384615384616,6.650000000000001
교육,승인인원,20,0.33199999999999996,6.639999999999999
공공행정,중상자수,21,0.3147619047619048,6.610000000000001
공공행정,비금속(개사),13,0.5076923076923077,6.6
보건,기타(가구),17,0.3858823529411765,6.5600000000000005
공공행정,다운로드수,13,0.5,6.5
교육,클릭수,20,0.325,6.5
공공행정,게시판 관리테이블 고유번호,13,0.5,6.5
보건,2021년4월,13,0.5,6.5
공공행정,견학신청스케쥴 아이디,13,0.4938461538461538,6.42
보건,2021년5월,13,0.4869230769230769,6.33
보건,2021년 07월,13,0.4869230769230769,6.33
교육,입력순번,13,0.4846153846153846,6.3
보건,허가병상,18,0.34833333333333333,6.27
보건,확진자수(명),19,0.3252631578947368,6.18
보건,정원(병상),17,0.3552941176470588,6.04
공공행정,게시글 수,18,0.33555555555555555,6.04
보건,2021년7월,12,0.5,6.0
보건,2021년 09월,12,0.48583333333333334,5.83
보건,8월,16,0.36312500000000003,5.8100000000000005
공공행정,지방세 납세증명,19,0.3036842105263158,5.77
보건,기준월,10,0.576,5.76
보건,2021년3월,12,0.4633333333333334,5.5600000000000005
공공행정,참석인원,11,0.5036363636363637,5.54
보건,2022년 02월,11,0.48454545454545456,5.33
공공행정,보도자료일련번호,14,0.37857142857142856,5.3
공공행정,소득금액증명,17,0.3070588235294118,5.22
교육,졸업인원(B),10,0.52,5.2
공공행정,년도,11,0.4709090909090909,5.18
보건,12월,12,0.43083333333333335,5.17
교육,301 - 400,16,0.31937499999999996,5.109999999999999
공공행정,직장가입자 국민연금보험료 납부확인서,10,0.51,5.1
보건,2년미만,10,0.51,5.1
교육, 5_예금이자 ,6,0.7933333333333333,4.76
교육,지원방법 도시락,14,0.3378571428571429,4.73
교육,2019년 인원,7,0.67,4.69
공공행정,조회수 기록 일자,9,0.51,4.59
