중점과제명,mean_achievement,std,min,max,n
비만,365.10833333333335,618.7584041057665,64.9,2300.0,12
관절염,214.0,286.67948420957276,16.7,640.0,4
건강검진,85.21249999999999,79.59334928246204,-4.8,221.1,8
구강보건,68.24,48.74334826414779,6.8,185.9,15
암,55.625,3.7508887835640587,51.5,60.6,4
심뇌혈관질환,40.43333333333333,109.42486441563887,-266.7,269.2,15
정신보건,40.05833333333333,86.96935153294295,-102.1,176.6,12
