상담강도_구간,미달성(0단계),부분달성(2-3단계),완전달성(4단계),초기달성(1단계)
고강도(11-15회),13.48,36.74,45.82,3.9699999999999998
저강도(1-5회),64.12,21.310000000000002,0.77,13.8
중강도(6-10회),28.000000000000004,45.53,17.04,9.43
집중(16회+),10.040000000000001,33.239999999999995,54.43,2.29
