초기CO위험도,미달성(0단계),부분달성(2-3단계),완전달성(4단계),초기달성(1단계)
경계(6-15ppm),0.0,55.910000000000004,19.439999999999998,24.65
미측정,38.34,34.86,19.12,7.670000000000001
위험(16ppm+),0.0,59.41,12.35,28.24
정상(0-5ppm),0.0,49.15,33.57,17.27
