학교명_norm,시도_norm,학교급_norm,설립,남여공학,도로명주소,ai_flag,지정연도,유형,sw_flag,지정연도_sw,키,몸무게,혈당식전(mgdl),총콜레스테롤(mgdl),수축기,이완기,cn_학급수,cn_학생수,학교명_stem_comp,컴퓨터실습실수,컴퓨터수,운영체제,개월수,수강학생수,학교명_stem_closed,폐교연도,활용 구분,토지면적(단위 제곱미터),건물면적(단위 제곱미터),ai_sw_both
서울대학교사범대학부설고등학교,서울,고,국립,남여공학,서울특별시 성북구 월곡로 6 (종암동),0,,,1,2019.0,,,,,,,,,,,,,,,,,,,,0
가락고등학교,서울,고,공립,남여공학,서울특별시 송파구 송이로 42 (송파동.가락고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
개포고등학교,서울,고,공립,남여공학,서울특별시 강남구 개포로 402 (개포동. 개포고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
경기고등학교,서울,고,공립,남자,서울특별시 강남구 영동대로 643 . 경기고등학교 (삼성동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
경동고등학교,서울,고,공립,남자,서울특별시 성북구 보문로29길 49 (삼선동3가. 경동고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
경복고등학교,서울,고,공립,남자,서울특별시 종로구 자하문로28가길 9 . 경복고등학교 (청운동.경복고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
경인고등학교,서울,고,공립,남여공학,서울특별시 구로구 경인로46길 31 . 경인고등학교 (고척동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
고척고등학교,서울,고,공립,남여공학,서울 구로구 중앙로15길 162 (고척동.고척고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
공항고등학교,서울,고,공립,남여공학,서울특별시 강서구 개화동로 495 (방화동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
관악고등학교,서울,고,공립,남여공학,서울특별시 영등포구 영등포로6길 26 (양평동2가),1,2023.0,교육활동 모델교,1,2020.0,,,,,,,,,,,,,,,,,,,,1
광남고등학교,서울,고,공립,남여공학,서울 광진구 아차산로70길 17-16 . 광남고등학교 (광장동.광남고등학교),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
광양고등학교,서울,고,공립,남여공학,서울특별시 광진구 자양로3가길 31 (자양동),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
구로고등학교,서울,고,공립,남여공학,서울특별시 구로구 가마산로27길 45 . 구로고등학교 (구로동),1,2023.0,교육활동 모델교,1,2020.0,,,,,,,,,,,,,,,,,,,,1
구일고등학교,서울,고,공립,남여공학,서울특별시 구로구 구일로 90-51 (구로동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
압구정고등학교,서울,고,공립,남여공학,서울특별시 강남구 압구정로39길 20 . 압구정고등학교 (압구정동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
금천고등학교,서울,고,공립,남여공학,서울특별시 금천구 시흥대로38길 26 (시흥동.금천고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
당곡고등학교,서울,고,공립,남여공학,서울특별시 관악구 봉천로21길 108 . 당곡고등학교 (봉천동),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
대영고등학교,서울,고,공립,남여공학,서울특별시 영등포구 도림로86길 16 (신길동. 대영고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
독산고등학교,서울,고,공립,남여공학,서울특별시 금천구 문성로 64 . 독산고등학교 (독산동),1,2023.0,교육활동 모델교,1,2020.0,,,,,,,,,,,,,,,,,,,,1
동작고등학교,서울,고,공립,남여공학,서울특별시 동작구 솔밭로 51 (사당동.동작고등학교(복합정보센타)),0,,,0,,,,,,,,,,,,,,,,,,,,,0
둔촌고등학교,서울,고,공립,남여공학,서울특별시 강동구 명일로 140 (둔촌동.둔촌고등학교),1,2023.0,교육활동 모델교,1,2015.0,,,,,,,,,,,,,,,,,,,,1
면목고등학교,서울,고,공립,남자,서울특별시 중랑구 용마산로72길 36-14 (면목동.면목고등학교),1,2023.0,교육활동 모델교,1,2017.0,172.4987341772152,68.25569620253164,88.5,172.5,111.48148148148148,63.18518518518518,,,,,,,,,,,,,,1
반포고등학교,서울,고,공립,남여공학,서울특별시 서초구 고무래로 71 (반포동.반포고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
삼성고등학교,서울,고,공립,남여공학,서울특별시 관악구 신림로 41 (신림동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
상계고등학교,서울,고,공립,남자,서울특별시 노원구 노해로 432 (상계동. 상계고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
서울고등학교,서울,고,공립,남자,서울특별시 서초구 효령로 197 (서초동.서울고등학교),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
서초고등학교,서울,고,공립,남여공학,서울특별시 서초구 반포대로27길 29 (서초동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
석관고등학교,서울,고,공립,남여공학,서울특별시 성북구 한천로70길 30 . 석관고등학교 (석관동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
성동고등학교,서울,고,공립,남자,서울특별시 중구 퇴계로90길 17 (신당동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
수락고등학교,서울,고,공립,남여공학,서울특별시 노원구 동일로245길 143 (상계동.수락고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
신림고등학교,서울,고,공립,남여공학,서울특별시 관악구 문성로 119 . 신림고등학교 (신림동),0,,,1,2017.0,,,,,,,,,,,,,,,,,,,,0
신목고등학교,서울,고,공립,남여공학,서울특별시 양천구 안양천로 739 (신정동.신목고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
양재고등학교,서울,고,공립,남여공학,서울특별시 서초구 남부순환로346길 9 (서초동.양재고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
언남고등학교,서울,고,공립,남여공학,서울 서초구 동산로13길 35 (양재동.언남고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
여의도고등학교,서울,고,공립,남자,서울특별시 영등포구 국제금융로7길 37 . 여의도고등학교 (여의도동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
영등포고등학교,서울,고,공립,남자,서울특별시 동작구 등용로8길 5 (대방동.영등포고등학교),0,,,0,,172.41647058823528,68.22588235294117,88.4,170.4,119.28,70.0,,,,,,,,,,,,,,0
영신고등학교,서울,고,공립,남여공학,서울특별시 영등포구 대방천로14길 18 (신길동. 영신고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
오금고등학교,서울,고,공립,남여공학,서울특별시 송파구 중대로 247 (오금동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
노원고등학교,서울,고,공립,남여공학,서울특별시 노원구 노원로 586 (상계동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
용산고등학교,서울,고,공립,남자,서울특별시 용산구 두텁바위로 60 (용산동2가.용산고등학교),1,2023.0,교육활동 모델교,0,,173.43235294117645,70.73627450980392,91.0,168.33333333333334,130.27272727272728,66.84848484848484,,,,,,,,,,,,,,0
인헌고등학교,서울,고,공립,남여공학,서울특별시 관악구 인헌9길 74 (봉천동.인헌고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
자양고등학교,서울,고,공립,남여공학,서울특별시 광진구 뚝섬로37길 28 (자양동.자양고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
잠신고등학교,서울,고,공립,남여공학,서울특별시 송파구 잠실로 24 . 잠신고등학교 (잠실동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
잠실고등학교,서울,고,공립,남자,서울특별시 송파구 올림픽로33길 71 . 잠실고등학교 (신천동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
중경고등학교,서울,고,공립,남여공학,서울특별시 용산구 이촌로84길 34 (이촌동),0,,,1,2020.0,,,,,,,,,,,,,,,,,,,,0
중화고등학교,서울,고,공립,남여공학,서울특별시 중랑구 봉화산로27길 62 (중화동. 중화고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
창동고등학교,서울,고,공립,남여공학,서울특별시 도봉구 노해로62길 7 (창동. 창동고등학교),0,,,0,,166.68916666666667,61.038333333333334,91.2,156.8,113.625,64.25,,,,,,,,,,,,,,0
청담고등학교,서울,고,공립,남여공학,서울특별시 강남구 압구정로 419 . 청담고등학교 (압구정동),0,,,0,,167.3398009950249,63.09303482587065,84.5,176.375,111.36842105263158,66.19298245614036,,,,,,,,,,,,,,0
청량고등학교,서울,고,공립,남여공학,서울특별시 동대문구 왕산로 303 (청량리동. 청량고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
태릉고등학교,서울,고,공립,남여공학,서울특별시 중랑구 신내로23길 36 . 태릉고등학교 (묵동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
경기여자고등학교,서울,고,공립,여자,서울특별시 강남구 삼성로 29 . 경기여자고등학교 (개포동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
금옥여자고등학교,서울,고,공립,여자,서울특별시 양천구 신정로 213 (신정동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
명일여자고등학교,서울,고,공립,여자,서울특별시 강동구 명일로 350 (명일동.명일여자고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
무학여자고등학교,서울,고,공립,여자,서울특별시 성동구 고산자로 197 무학여자고등학교,0,,,0,,,,,,,,,,,,,,,,,,,,,0
서울여자고등학교,서울,고,공립,여자,서울특별시 마포구 백범로25길 34 . 서울여자고등학교 (염리동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
수도여자고등학교,서울,고,공립,여자,서울특별시 동작구 여의대방로10길 73 . 수도여자고등학교 (신대방동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
여의도여자고등학교,서울,고,공립,여자,서울특별시 영등포구 국제금융로7가길 13 . 여의도여자고등학교 (여의도동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
영등포여자고등학교,서울,고,공립,여자,서울특별시 영등포구 영등포로62길 13 . 영등포여자고등학교  (신길동)184-3,0,,,0,,,,,,,,,,,,,,,,,,,,,0
창덕여자고등학교,서울,고,공립,여자,서울특별시 송파구 양재대로 1240 . 창덕여자고등학교 (방이동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
혜화여자고등학교,서울,고,공립,여자,서울특별시 강북구 인수봉로 127 (수유동.혜화여자고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
누원고등학교,서울,고,공립,남여공학,서울특별시 도봉구 마들로 849 . 누원고등학교 (도봉동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
방산고등학교,서울,고,공립,남여공학,서울특별시 송파구 오금로27길 18 (방이동),0,,,1,2019.0,,,,,,,,,,,,,,,,,,,,0
신현고등학교,서울,고,공립,남여공학,서울특별시 중랑구 봉화산로 174 . 신현고등학교 (상봉동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
자운고등학교,서울,고,공립,남여공학,서울특별시 도봉구 노해로69길 150 (창동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
도봉고등학교,서울,고,공립,남여공학,서울특별시 도봉구 도봉산길 27 (도봉동.도봉고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
등촌고등학교,서울,고,공립,남여공학,서울특별시 강서구 공항대로39길 115 . 등촌고등학교 (등촌동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
경일고등학교,서울,고,공립,남여공학,서울특별시 성동구 성수일로 27 . 경일고등학교 (성수동1가),0,,,0,,,,,,,,,,,,,,,,,,,,,0
선유고등학교,서울,고,공립,남여공학,서울특별시 영등포구 선유로 227 . 선유고등학교 (양평동4가),0,,,0,,,,,,,,,,,,,,,,,,,,,0
월계고등학교,서울,고,공립,남여공학,서울특별시 노원구 초안산로5길 66 (월계동.월계고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
불암고등학교,서울,고,공립,남여공학,서울특별시 노원구 중계로 155 (중계동),0,,,0,,166.97156862745098,61.662254901960786,89.625,155.75,107.05714285714286,62.9,,,,,,,,,,,,,,0
세현고등학교,서울,고,공립,남여공학,서울특별시 강서구 허준로 227 . 세현고등학교 (가양동),0,,,1,2018.0,165.26206896551724,61.590804597701144,85.66666666666667,204.66666666666666,111.81481481481481,67.92592592592592,,,,,,,,,,,,,,0
신서고등학교,서울,고,공립,남여공학,서울특별시 양천구 은행정로 42 . 신서고등학교 (신정동),0,,,0,,168.10736842105263,62.49578947368421,86.33333333333333,150.66666666666666,104.96774193548387,60.83870967741935,,,,,,,,,,,,,,0
효문고등학교,서울,고,공립,남여공학,서울특별시 도봉구 우이천로 432 (쌍문동.효문중 고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
원묵고등학교,서울,고,공립,남여공학,서울특별시 중랑구 숙선옹주로 82 . 원묵고등학교 (묵동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
상암고등학교,서울,고,공립,남여공학,서울특별시 마포구 월드컵북로 445 (상암동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
구현고등학교,서울,고,공립,남여공학,서울특별시 구로구 경인로53가길 17 (구로동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
문정고등학교,서울,고,공립,남여공학,서울특별시 송파구 송이로34길 62 (문정동.문정고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
은평고등학교,서울,고,공립,남여공학,서울특별시 은평구 갈현로15길 51 (구산동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
진관고등학교,서울,고,공립,남여공학,서울특별시 은평구 진관4로 26 (진관동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
신도림고등학교,서울,고,공립,남여공학,서울특별시 구로구 경인로67길 159 (신도림동.신도림고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
수명고등학교,서울,고,공립,남여공학,서울특별시 강서구 수명로2길 15 . 수명고등학교 (내발산동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
성수고등학교,서울,고,공립,남여공학,서울특별시 성동구 서울숲길 18 . 성수고등학교 (성수동1가),0,,,0,,,,,,,,,,,,,,,,,,,,,0
미양고등학교,서울,고,공립,남여공학,서울특별시 강북구 인수봉로 39 . 미양고등학교 (미아동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
강일고등학교,서울,고,공립,남여공학,서울특별시 강동구 아리수로98길 40 (강일동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
문현고등학교,서울,고,공립,남여공학,서울특별시 송파구 충민로 115 (장지동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
신도고등학교,서울,고,공립,남여공학,서울특별시 은평구 통일로 961 (진관동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
선사고등학교,서울,고,공립,남여공학,서울특별시 강동구 고덕로25길 17 . 선사고등학교 (암사동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
삼각산고등학교,서울,고,공립,남여공학,서울특별시 강북구 삼양로19길 40 (미아동.삼각산고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
구암고등학교,서울,고,공립,남여공학,서울특별시 관악구 성현로 57 (봉천동.구암고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
잠일고등학교,서울,고,공립,남여공학,서울특별시 송파구 백제고분로 21 (잠실동),0,,,1,2019.0,,,,,,,,,,,,,,,,,,,,0
휘봉고등학교,서울,고,공립,남여공학,서울특별시 동대문구 한천로 290 (휘경동),0,,,1,2020.0,,,,,,,,,,,,,,,,,,,,0
가재울고등학교,서울,고,공립,남여공학,서울특별시 서대문구 수색로 100-35 (북가좌동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
도선고등학교,서울,고,공립,남여공학,서울특별시 성동구 마장로 156 (하왕십리동),1,2023.0,교육활동 모델교,1,2018.0,,,,,,,,,,,,,,,,,,,,1
금호고등학교,서울,고,공립,남여공학,서울특별시 성동구 금호로 118 (금호동1가),0,,,0,,,,,,,,,,,,,,,,,,,,,0
강동고등학교,서울,고,사립,남여공학,서울특별시 강동구 구천면로 572 (상일동),0,,,0,,166.60074074074072,60.480000000000004,91.75,196.625,110.25490196078431,65.29411764705883,,,,,,,,,,,,,,0
강서고등학교,서울,고,사립,남자,서울특별시 양천구 목동중앙남로 27 . 강서고등학교 (목동),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
건국대학교사범대학부속고등학교,서울,고,사립,남여공학,서울특별시 광진구 능동로 120 . 건국대학교사범대학부속고등학교 (화양동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
경문고등학교,서울,고,사립,남자,서울특별시 동작구 동작대로 171 . 경문고등학교 (동작동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
경성고등학교,서울,고,사립,남자,서울특별시 마포구 성미산로 111 . 경성고등학교 (연남동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
경신고등학교,서울,고,사립,남자,서울특별시 종로구 혜화로 74 (혜화동.경신중고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
경희고등학교,서울,고,사립,남자,서울특별시 동대문구 경희대로 26 경희고등학교(회기동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
고려대학교사범대학부속고등학교,서울,고,사립,남자,서울특별시 성북구 정릉로 161 (정릉동),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
광문고등학교,서울,고,사립,남여공학,서울특별시 강동구 동남로 968 광문고등학교 (고덕동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
광성고등학교,서울,고,사립,남자,서울특별시 마포구 신수로8길 20 (신수동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
광신고등학교,서울,고,사립,남여공학,서울특별시 관악구 광신길 141 (신림동.광신중고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
광영고등학교,서울,고,사립,남자,서울특별시 양천구 남부순환로30길 17 광영고등학교 (신월동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
남강고등학교,서울,고,사립,남자,서울특별시 관악구 난곡로34길 80 (난곡동. 남강중고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
단국대학교사범대학부속고등학교,서울,고,사립,남자,서울특별시 강남구 도곡로64길 21 (대치동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
대광고등학교,서울,고,사립,남자,서울특별시 동대문구 안암로 6 . 대광고등학교 (신설동),0,,,1,2016.0,,,,,,,,,,,,,,,,,,,,0
대성고등학교,서울,고,사립,남자,서울특별시 은평구 갈현로29길 51-24 . 대성고등학교 (갈현동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
대신고등학교,서울,고,사립,남자,서울특별시 종로구 사직로 9 (행촌동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
대원고등학교,서울,고,사립,남자,서울특별시 광진구 용마산로22길 26 . 대원고등학교 (중곡동),1,2023.0,교육활동 모델교,1,2018.0,,,,,,,,,,,,,,,,,,,,1
대일고등학교,서울,고,사립,남자,서울특별시 강서구 등촌로 105 (등촌동.대일고등학교),0,,,0,,172.16382978723405,69.22127659574468,94.0,176.0,114.84615384615384,72.84615384615384,,,,,,,,,,,,,,0
대진고등학교,서울,고,사립,남자,서울특별시 노원구 공릉로62가길 47 . 대진고등학교 (하계동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
동국대학교사범대학부속고등학교,서울,고,사립,남자,서울특별시 동대문구 장안벚꽃로 201 . 동국대학교사범대학부속고등학교 (장안동),0,,,1,2019.0,,,,,,,,,,,,,,,,,,,,0
동북고등학교,서울,고,사립,남자,서울특별시 강동구 강동대로 305 (둔촌동),0,,,0,,174.6060606060606,69.1,,208.0,155.0,25.25,,,,,,,,,,,,,,0
동성고등학교,서울,고,사립,남자,서울특별시 종로구 대학로 156 (혜화동.동성중고교),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
마포고등학교,서울,고,사립,남자,서울특별시 강서구 화곡로 403 (등촌동.마포고등학교),1,2023.0,교육활동 모델교,1,2016.0,,,,,,,,,,,,,,,,,,,,1
명덕고등학교,서울,고,사립,남자,서울특별시 강서구 강서로47길 34-10 .명덕고등학교(내발산동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
명지고등학교,서울,고,사립,남여공학,서울특별시 서대문구 명지2길 56 . 명지고등학교 (홍은동),0,,,0,,167.0050228310502,61.393150684931506,84.6875,171.25,109.83333333333333,66.86111111111111,,,,,,,,,,,,,,0
문일고등학교,서울,고,사립,남자,서울특별시 금천구 시흥대로47길 45 (시흥동),0,,,0,,173.20104166666667,69.17083333333333,87.0,194.0,112.66666666666667,65.16666666666667,,,,,,,,,,,,,,0
배명고등학교,서울,고,사립,남자,서울특별시 송파구 삼학사로 11 (삼전동),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
성덕고등학교,서울,고,사립,남여공학,서울특별시 강동구 구천면로 396 (천호동. 성덕고등학교.성덕여자중학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
배문고등학교,서울,고,사립,남자,서울특별시 용산구 효창원로 258 (서계동),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
배재고등학교,서울,고,사립,남자,서울특별시 강동구 고덕로 227 (고덕동.배재중 고등학교),0,,,1,2019.0,,,,,,,,,,,,,,,,,,,,0
백암고등학교,서울,고,사립,남여공학,서울특별시 양천구 신정로13길 16 . 백암고등학교 (신정동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
보성고등학교,서울,고,사립,남자,서울특별시 송파구 양재대로 1278 (방이동.보성중고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
상문고등학교,서울,고,사립,남자,서울특별시 서초구 명달로 45 (방배동.상문고등학교),0,,,1,2020.0,,,,,,,,,,,,,,,,,,,,0
서라벌고등학교,서울,고,사립,남자,서울특별시 노원구 한글비석로5길 18 . (중계1동 313. 서라벌고등학교),0,,,0,,173.94827586206895,68.88534482758621,106.0,164.8,104.4054054054054,60.91891891891892,,,,,,,,,,,,,,0
서울미술고등학교,서울,고,사립,남여공학,서울특별시 관악구 남부순환로247길 26 (봉천동.서울미술고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
서울세종고등학교,서울,고,사립,남여공학,서울특별시 강남구 광평로51길 36 . 서울세종고등학교 (수서동),1,2023.0,교육활동 모델교,1,2019.0,167.5495412844037,62.27018348623853,88.0,183.88888888888889,109.36507936507937,65.11111111111111,,,,,,,,,,,,,,1
선덕고등학교,서울,고,사립,남자,서울특별시 도봉구 시루봉로 53 .  선덕고등학교 (쌍문동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
선정고등학교,서울,고,사립,남여공학,서울특별시 은평구 서오릉로20길 19 . 선정고등학교 (갈현동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
성남고등학교,서울,고,사립,남자,서울특별시 동작구 대방동길 74 (대방동),0,,,1,2018.0,,,,,,,,,,,,,,,,,,,,0
성보고등학교,서울,고,사립,남자,서울특별시 관악구 남부순환로156길 39 (신림동.성보고등학교),1,2023.0,교육활동 모델교,1,2019.0,,,,,,,,,,,,,,,,,,,,1
세화고등학교,서울,고,사립,남자,서울특별시 서초구 신반포로 56-7 (반포동),0,,,1,2019.0,,,,,,,,,,,,,,,,,,,,0
송곡고등학교,서울,고,사립,남자,서울특별시 중랑구 양원역로 50 (망우동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
숭문고등학교,서울,고,사립,남자,서울특별시 마포구 숭문길 99 (대흥동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
숭실고등학교,서울,고,사립,남자,서울특별시 은평구 은평터널로7길 6 (신사동),1,2023.0,교육활동 모델교,1,2019.0,,,,,,,,,,,,,,,,,,,,1
신일고등학교,서울,고,사립,남자,서울특별시 강북구 솔매로49길 20 (미아동.신일중고등학교),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
양정고등학교,서울,고,사립,남자,서울특별시 양천구 안양천로 1039 (목동.양정고등학교),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
양천고등학교,서울,고,사립,남자,서울특별시 양천구 신정로14길 13 (신정동.양천고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
영동고등학교,서울,고,사립,남자,서울특별시 강남구 선릉로 742 (청담동. 영동고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
영락고등학교,서울,고,사립,남여공학,서울특별시 관악구 청룡16길 25 . 영락고등학교 (봉천동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
영일고등학교,서울,고,사립,남자,서울특별시 강서구 등촌로51가길 26 . 영일고등학교 (등촌동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
영훈고등학교,서울,고,사립,남여공학,서울특별시 강북구 도봉로13가길 19 (미아동.학교법인영훈학원),0,,,0,,,,,,,,,,,,,,,,,,,,,0
오산고등학교,서울,고,사립,남자,서울특별시 용산구 보광로7길 17 (보광동),0,,,1,2017.0,173.054,69.442,95.5,176.83333333333334,120.375,73.09375,,,,,,,,,,,,,,0
용문고등학교,서울,고,사립,남자,서울특별시 성북구 인촌로17가길 46 (안암동2가),0,,,1,2019.0,,,,,,,,,,,,,,,,,,,,0
우신고등학교,서울,고,사립,남자,서울특별시 구로구 부일로 917 . 우신고등학교 (궁동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
인창고등학교,서울,고,사립,남자,서울특별시 서대문구 경기대로 65 . 인창고등학교 (충정로2가),0,,,0,,,,,,,,,,,,,,,,,,,,,0
장충고등학교,서울,고,사립,남자,서울특별시 중구 동호로15길 93 장충고등학교,0,,,1,2016.0,,,,,,,,,,,,,,,,,,,,0
장훈고등학교,서울,고,사립,남자,서울특별시 영등포구 영등포로64길 26 . 장훈고등학교 (신길동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
재현고등학교,서울,고,사립,남자,서울특별시 노원구 덕릉로82길 64 . 재현고등학교 (중계동),1,2023.0,교육활동 모델교,1,2018.0,,,,,,,,,,,,,,,,,,,,1
중동고등학교,서울,고,사립,남자,서울특별시 강남구 일원로 7 . 중동고등학교 (일원동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
중산고등학교,서울,고,사립,남자,서울특별시 강남구 일원로14길 22 . 중산고등학교 (일원동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
중앙고등학교,서울,고,사립,남자,서울특별시 종로구 창덕궁길 164 (계동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
중앙대학교사범대학부속고등학교,서울,고,사립,남여공학,서울특별시 강남구 선릉로 207 . 중앙대학교사범대학부속고등학교 (도곡동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
청원고등학교,서울,고,사립,남자,서울특별시 노원구 한글비석로 506 . 청원고등학교 (상계동),1,2023.0,교육활동 모델교,1,2016.0,,,,,,,,,,,,,,,,,,,,1
충암고등학교,서울,고,사립,남자,서울특별시 은평구 가좌로5길 5 (응암동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
한가람고등학교,서울,고,사립,남여공학,서울특별시 양천구 목동서로 15 한가람고등학교 (목동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
한광고등학교,서울,고,사립,남여공학,서울특별시 강서구 등촌로13길 110 (화곡동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
한국삼육고등학교,서울,고,사립,남여공학,서울특별시 노원구 화랑로 815 (공릉동),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
한서고등학교,서울,고,사립,남여공학,서울 강서구 양천로11길 47 (방화동.한서고등학교),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
한성고등학교,서울,고,사립,남자,서울특별시 서대문구 북아현로1길 24 (북아현동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
