학교명_norm,시도_norm,학교급_norm,설립,남여공학,도로명주소,ai_flag,지정연도,유형,sw_flag,지정연도_sw,키,몸무게,혈당식전(mgdl),총콜레스테롤(mgdl),수축기,이완기,cn_학급수,cn_학생수,학교명_stem_comp,컴퓨터실습실수,컴퓨터수,운영체제,개월수,수강학생수,학교명_stem_closed,폐교연도,활용 구분,토지면적(단위 제곱미터),건물면적(단위 제곱미터),ai_sw_both
동암중학교,경기,중,공립,남여공학,경기도 의정부시 장곡로226번길 132 (장암동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
솔뫼중학교,경기,중,공립,남여공학,경기 의정부시 시민로 464,0,,,1,2016.0,,,,,,,,,,,,,,,,,,,,0
경민중학교,경기,중,사립,남자,경기도 의정부시 서부로 545 . 경민중학교 (가능동),0,,,1,2018.0,,,,,,,,,,,,,,,,,,,,0
가온초등학교,경기,초,공립,,경기도 파주시 가온로 134 (목동동. 가온초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
자유초등학교,경기,초,공립,,경기도 파주시 문산읍 방촌로 1722 (문산읍. 자유초등학교),0,,,1,2018.0,,,,,,,,,,,,,,,,,,,,0
갈현초등학교,경기,초,공립,,경기도 파주시 탄현면 평화로591번길 76 (탄현면),0,,,0,,,,,,,,,,,,,,,,,,,,,0
검산초등학교,경기,초,공립,,경기도 파주시 검산로 10 (검산동. 검산초교병설유치원.검산초등학교),0,,,1,2016.0,,,,,,,,,,,,,,,,,,,,0
교하초등학교,경기,초,공립,,경기도 파주시 동편길 13 (교하동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
운정초등학교,경기,초,공립,,경기도 파주시 와석순환로 35-34 (야당동),1,2023.0,교육활동 모델교,1,2017.0,,,,,,,,,,,,,,,,,,,,1
군내초등학교,경기,초,공립,,경기도 파주시 군내면 통일촌길 226 (군내면.군내초등학교),0,,,1,2016.0,,,,,,,,,,,,,,,,,,,,0
산내초등학교,경기,초,공립,,경기도 파주시 교하로 140 . 산내초등학교,0,,,1,2018.0,,,,,,,,,,,,,,,,,,,,0
금신초등학교,경기,초,공립,,경기도 파주시 금신초교길 10 . 금신초등학교 (금촌동),1,2023.0,교육활동 모델교,1,2016.0,,,,,,,,,,,,,,,,,,,,1
금촌초등학교,경기,초,공립,,경기도 파주시 동산3길 38-11 . 금촌초등학교 (금촌동. 금촌초등학교.공립금촌유치원),0,,,0,,,,,,,,,,,,,,,,,,,,,0
능안초등학교,경기,초,공립,,경기도 파주시 조리읍 능안로 145 (조리읍.능안초등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
