antecedents_str,consequents_str,support,confidence,lift,leverage,conviction
"cate2=보건의료, col_type=범주형, domain_spread=단독","cate1=보건, dom_sim_bucket=낮은유사(0-0.1), val_sim_bucket=낮은값유사",0.050203252032520324,0.8576388888888888,10.094696969696969,0.04523002181241324,6.427602617489588
"cate1=보건, col_type=범주형, domain_spread=단독","cate2=보건의료, dom_sim_bucket=낮은유사(0-0.1), val_sim_bucket=낮은값유사",0.050203252032520324,0.8576388888888888,10.094696969696969,0.04523002181241324,6.427602617489588
"cate1=보건, rec_bucket=소(≤100), val_sim_bucket=낮은값유사","cate2=보건의료, dom_sim_bucket=낮은유사(0-0.1)",0.05050813008130081,0.875,10.070175438596491,0.04549251437636327,7.304878048780488
"cate2=보건의료, rec_bucket=소(≤100), val_sim_bucket=낮은값유사","cate1=보건, dom_sim_bucket=낮은유사(0-0.1)",0.05050813008130081,0.875,10.070175438596491,0.04549251437636327,7.304878048780488
"cate1=보건, dom_sim_bucket=낮은유사(0-0.1)","cate2=보건의료, domain_spread=단독",0.05457317073170732,0.6280701754385966,9.952029833036699,0.0490895486317668,2.5189973538886337
"cate1=보건, domain_spread=단독","cate2=보건의료, dom_sim_bucket=낮은유사(0-0.1)",0.05457317073170732,0.8647342995169082,9.952029833036699,0.0490895486317668,6.750489982578395
"cate2=보건의료, domain_spread=단독","cate1=보건, dom_sim_bucket=낮은유사(0-0.1)",0.05457317073170732,0.8647342995169082,9.952029833036699,0.0490895486317668,6.750489982578395
"cate2=보건의료, dom_sim_bucket=낮은유사(0-0.1)","cate1=보건, domain_spread=단독",0.05457317073170732,0.6280701754385966,9.952029833036699,0.0490895486317668,2.5189973538886337
"cate1=보건, col_type=범주형, domain_spread=단독","cate2=보건의료, dom_sim_bucket=낮은유사(0-0.1)",0.05030487804878049,0.859375,9.890350877192983,0.04521861986912552,6.493224932249323
"cate2=보건의료, col_type=범주형, domain_spread=단독","cate1=보건, dom_sim_bucket=낮은유사(0-0.1)",0.05030487804878049,0.859375,9.890350877192983,0.04521861986912552,6.493224932249323
"pk_bucket=최고PK(0.9+), val_sim_bucket=중값유사","dom_sim_bucket=중유사(0.1-0.3), rec_bucket=소(≤100)",0.05254065040650407,0.8703703703703705,9.63379577552806,0.04708686545706921,7.017334494773524
"cate1=보건, col_type=범주형, val_sim_bucket=낮은값유사","cate2=보건의료, domain_spread=단독",0.05203252032520325,0.6059171597633136,9.601006203012892,0.0466130341562562,2.377394162455138
"cate2=보건의료, domain_spread=단독","cate1=보건, col_type=범주형, val_sim_bucket=낮은값유사",0.05203252032520325,0.8244766505636071,9.601006203012892,0.0466130341562562,5.208002349518908
"cate1=보건, domain_spread=단독","cate2=보건의료, col_type=범주형, val_sim_bucket=낮은값유사",0.05203252032520325,0.8244766505636071,9.601006203012892,0.0466130341562562,5.208002349518908
"cate2=보건의료, col_type=범주형, val_sim_bucket=낮은값유사","cate1=보건, domain_spread=단독",0.05203252032520325,0.6059171597633136,9.601006203012892,0.0466130341562562,2.377394162455138
"cate2=보건의료, col_type=범주형, val_sim_bucket=낮은값유사","cate1=보건, dom_sim_bucket=낮은유사(0-0.1)",0.07002032520325203,0.8153846153846154,9.384075573549259,0.06255871381122348,4.946011178861788
"cate1=보건, dom_sim_bucket=낮은유사(0-0.1)","cate2=보건의료, col_type=범주형, val_sim_bucket=낮은값유사",0.07002032520325203,0.8058479532163744,9.384075573549259,0.06255871381122348,4.708299662062887
"cate1=보건, col_type=범주형, val_sim_bucket=낮은값유사","cate2=보건의료, dom_sim_bucket=낮은유사(0-0.1)",0.07002032520325203,0.8153846153846154,9.384075573549259,0.06255871381122348,4.946011178861788
"cate2=보건의료, dom_sim_bucket=낮은유사(0-0.1)","cate1=보건, col_type=범주형, val_sim_bucket=낮은값유사",0.07002032520325203,0.8058479532163744,9.384075573549259,0.06255871381122348,4.708299662062887
"cate1=보건, dom_sim_bucket=낮은유사(0-0.1), domain_spread=단독","cate2=보건의료, val_sim_bucket=낮은값유사",0.05447154471544716,0.9981378026070764,8.96138319128981,0.048393069601427724,477.18780487806356
