col_id,col_nm,table_id,cate1,cate2,num_cat_flag,pk_ratio,distinct_cnt,null_ratio,same_ratio,rec_cnt,column_cnt,categorical_cnt,numerical_cnt,avg_dom_col,avg_val_col,num_dom_eqn_col,num_dom_inter_col,num_val_eqn_col,num_val_inter_col,inner_tbl_cnt,outer_tbl_cnt,rep_ratio_tbl,common_ratio_tbl,col_table_cnt,inner_col_cnt,pk_bucket,null_bucket,col_type,rec_bucket,col_cnt_bucket,domain_spread,dom_sim_bucket,val_sim_bucket
8517,데이터기준일자,813,보건,보건의료,1,0.04,1,0.0,23.0,23,7,3,4,1.0,0.1739130434782608,0.0,0.0,0.0,33.0,676.0,,,,26.0,33.0,저PK(0-0.3),완전(0%),범주형,소(≤100),표준(6-10),대공유(21+),최고유사(0.6+),중값유사
456,데이터기준일,48,공공행정,일반행정,1,0.17,1,0.0,6.0,6,4,4,0,1.0,0.5405405405405406,2.0,0.0,0.0,26.0,36.0,,,,34.0,37.0,저PK(0-0.3),완전(0%),범주형,소(≤100),협소(≤5),대공유(21+),최고유사(0.6+),높은값유사
1153,날짜,138,공공행정,일반행정,1,0.6,405,0.0,1.49,676,12,8,4,0.0456321300203156,0.0338738671260579,0.0,157.0,0.0,158.0,745.0,,,,104.0,158.0,중PK(0.3-0.7),완전(0%),범주형,중(101-1k),풍부(11-20),대공유(21+),낮은유사(0-0.1),낮은값유사
1154,데이터기준일자,138,공공행정,일반행정,1,0.0,1,0.0,229.0,676,12,8,4,1.0,0.069585798816568,2.0,0.0,0.0,23.0,745.0,,,,21.0,25.0,저PK(0-0.3),완전(0%),범주형,중(101-1k),풍부(11-20),대공유(21+),최고유사(0.6+),낮은값유사
2030,자료명,264,공공행정,일반행정,1,1.0,338,0.0,1.0,339,3,3,0,,,,,,,174.0,,,,,,최고PK(0.9+),완전(0%),범주형,중(101-1k),협소(≤5),단독,낮은유사(0-0.1),낮은값유사
2031,사용여부,264,공공행정,일반행정,1,0.01,2,0.0,169.5,339,3,3,0,0.7699386503067485,0.2688890095372532,87.0,20.0,0.0,114.0,174.0,,,,81.0,163.0,저PK(0-0.3),완전(0%),범주형,중(101-1k),협소(≤5),대공유(21+),최고유사(0.6+),중값유사
3081,제목,325,교육,고등교육,1,0.6,3,0.0,1.67,5,3,2,1,,,,,,,636.0,,,,,,중PK(0.3-0.7),완전(0%),범주형,소(≤100),협소(≤5),단독,낮은유사(0-0.1),낮은값유사
457,지표등급일련번호,49,공공행정,일반행정,0,1.0,26700,0.0,1.0,26700,9,3,6,0.008497706486801,0.008497706486801,0.0,2432.0,0.0,2601.0,767.0,,,,536.0,2652.0,최고PK(0.9+),완전(0%),수치형,초대(10k+),표준(6-10),대공유(21+),낮은유사(0-0.1),낮은값유사
458,등급명,49,공공행정,일반행정,1,0.0,5,0.0,5340.0,26700,9,3,6,0.4428571428571429,0.0363670411985018,0.0,8.0,0.0,8.0,767.0,,,,11.0,14.0,저PK(0-0.3),완전(0%),범주형,초대(10k+),표준(6-10),중공유(6-20),높은유사(0.3-0.6),낮은값유사
459,정렬순서,49,공공행정,일반행정,0,0.0,5,0.0,5340.0,26700,9,3,6,0.5807492195629553,0.0144718945231052,11.0,1199.0,0.0,1811.0,767.0,,,,588.0,1922.0,저PK(0-0.3),완전(0%),수치형,초대(10k+),표준(6-10),대공유(21+),높은유사(0.3-0.6),낮은값유사
460,시작구간,49,공공행정,일반행정,0,0.0,9,0.0,2966.67,26700,9,3,6,0.2124593212459321,0.0141500224815536,0.0,2749.0,0.0,2786.0,767.0,,,,536.0,3107.0,저PK(0-0.3),완전(0%),수치형,초대(10k+),표준(6-10),대공유(21+),중유사(0.1-0.3),낮은값유사
461,종료구간,49,공공행정,일반행정,0,0.0,9,0.0,2966.67,26700,9,3,6,0.3271915131211613,0.0069735067346721,0.0,1082.0,0.0,1190.0,767.0,,,,464.0,1194.0,저PK(0-0.3),완전(0%),수치형,초대(10k+),표준(6-10),대공유(21+),높은유사(0.3-0.6),낮은값유사
