support,itemsets_str
0.19369918699186991,dom_sim_bucket=중유사(0.1-0.3)
0.19247967479674796,"cate1=교육, cate2=고등교육, col_cnt_bucket=초풍부(21+), rec_bucket=중(101-1k)"
0.19247967479674796,"cate2=고등교육, col_cnt_bucket=초풍부(21+), rec_bucket=중(101-1k)"
0.19217479674796747,"cate2=고등교육, col_type=수치형, rec_bucket=중(101-1k)"
0.19217479674796747,"cate1=교육, cate2=고등교육, col_type=수치형, rec_bucket=중(101-1k)"
0.19075203252032522,"cate2=고등교육, col_type=수치형, domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.19075203252032522,"cate1=교육, cate2=고등교육, col_type=수치형, domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.1899390243902439,"cate1=교육, col_cnt_bucket=초풍부(21+), col_type=수치형, rec_bucket=중(101-1k)"
0.18871951219512195,"cate1=교육, col_cnt_bucket=초풍부(21+), col_type=수치형, domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.1883130081300813,"cate1=교육, cate2=고등교육, col_cnt_bucket=초풍부(21+), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.1883130081300813,"cate2=고등교육, col_cnt_bucket=초풍부(21+), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.18739837398373985,"cate1=교육, cate2=고등교육, col_cnt_bucket=초풍부(21+), col_type=수치형"
0.18739837398373985,"cate2=고등교육, col_cnt_bucket=초풍부(21+), col_type=수치형"
0.1863821138211382,"cate2=고등교육, col_cnt_bucket=초풍부(21+), col_type=수치형, domain_spread=대공유(21+)"
0.1863821138211382,"cate1=교육, cate2=고등교육, col_cnt_bucket=초풍부(21+), col_type=수치형, domain_spread=대공유(21+)"
0.18577235772357722,"domain_spread=대공유(21+), val_sim_bucket=중값유사"
0.18577235772357722,"domain_spread=대공유(21+), val_sim_bucket=높은값유사"
0.1850609756097561,dom_sim_bucket=최고유사(0.6+)
0.1850609756097561,"col_type=수치형, rec_bucket=소(≤100)"
0.183130081300813,"cate2=고등교육, col_cnt_bucket=초풍부(21+), col_type=수치형, rec_bucket=중(101-1k)"
0.183130081300813,"cate1=교육, cate2=고등교육, col_cnt_bucket=초풍부(21+), col_type=수치형, rec_bucket=중(101-1k)"
0.18292682926829268,"col_type=범주형, domain_spread=단독"
0.18221544715447155,"cate2=고등교육, col_cnt_bucket=초풍부(21+), col_type=수치형, domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.18221544715447155,"cate1=교육, cate2=고등교육, col_cnt_bucket=초풍부(21+), col_type=수치형, domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.179369918699187,"col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.179369918699187,"domain_spread=단독, val_sim_bucket=낮은값유사"
0.17794715447154472,"rec_bucket=중(101-1k), val_sim_bucket=낮은값유사"
0.1766260162601626,"col_cnt_bucket=초풍부(21+), pk_bucket=저PK(0-0.3)"
0.17256097560975608,"cate1=교육, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.17245934959349593,"col_type=수치형, val_sim_bucket=높은값유사"
